Time,PR_Val,Temp_Val,Sys_Val,Resp_Val,SPO2
615,108,,,,95
616,107,,,,95
617,111,,,,95
618,108,,,,96
619,105,,,,95
620,109,,,25,95
621,104,,,,96
622,106,,,55,96
623,103,,,,96
624,104,,,,97
625,106,,,55,96
626,109,,,,96
627,98,,,,97
628,106,,,,98
629,110,,,,97
630,110,,,,94
631,104,,,,94
632,109,,,,94
633,110,,,,94
634,100,,,,94
635,105,,,55,90
636,107,,,24,91
637,100,,,26,97
638,104,,,22,
639,108,,,33,98
640,106,,,24,98
641,106,,,22,98
642,107,,,20,98
643,104,,,22,98
644,94,,,26,97
645,106,,,28,97
646,85,,,31,92
647,118,,,29,94
648,,,,26,97
649,108,,,29,97
650,109,,,27,97
651,106,,,20,98
652,109,,,26,98
653,108,,,23,98
654,107,,,34,98
655,110,,,24,98
656,89,,,35,98
657,109,,,35,
658,108,,,32,
659,110,,,27,98
660,107,,,24,98
661,107,,,31,99
662,108,,,21,98
663,108,,,25,97
664,104,,,20,98
665,113,,,23,98
666,106,,,28,97
667,106,,,31,97
668,106,,,31,
669,109,,,31,97
670,108,,,33,97
671,107,,,26,97
672,109,,,33,97
673,112,,,34,97
674,112,,,27,98
675,113,,,25,95
676,112,,,39,99
677,113,,,49,97
678,113,,,32,90
679,113,,,26,
680,0,,,33,
681,112,,,37,96
682,113,,,28,97
683,109,,,39,97
684,109,,,49,97
685,109,,,35,
686,107,,,33,97
687,108,,,34,97
688,111,,,37,98
689,106,,,33,99
690,106,,,25,99
691,108,,,25,99
692,113,,,41,97
693,113,,,38,97
694,113,,,40,98
695,114,,,38,97
696,109,,,39,98
697,110,,,29,98
698,110,,,37,97
699,114,,,46,
700,112,,,35,
701,112,,,37,
702,112,,,38,97
703,113,,,42,97
704,106,,,35,98
705,106,,,30,
706,107,,,29,
707,107,,,35,
708,108,,,28,99
709,110,,,38,99
710,110,,,36,
711,108,,,42,98
712,114,,,42,98
713,116,,,37,89
714,111,,,39,89
715,108,,,36,99
716,,,,,96
717,112,,,28,98
718,112,,,40,95
719,111,,,30,98
720,111,,,24,98
721,106,,,21,98
722,111,,,25,99
723,114,,,30,98
724,112,,,22,98
725,,,,25,98
726,109,,,19,98
727,,,,,98
728,109,,,26,99
729,109,,,28,99
730,115,,,31,95
731,116,,,40,96
732,112,,,33,97
733,114,,,38,96
734,111,,,35,97
735,114,,,31,97
736,110,,,23,96
737,109,,,28,97
738,112,,,30,98
739,110,,,33,97
740,110,,,24,98
741,108,,,22,99
742,109,,,20,99
743,113,,,26,98
744,110,,,20,98
745,112,,,21,94
746,112,,,20,95
747,110,,,24,97
748,115,,,30,96
749,115,,,34,96
750,111,,,24,98
751,111,,,23,
752,110,,,21,99
753,109,,,21,99
754,109,,,17,98
755,110,,,22,96
756,112,,,22,
757,113,,,22,96
758,113,,,21,95
759,114,,,16,95
760,111,,,16,96
761,117,,,15,95
762,120,,,18,94
763,119,,,17,95
764,119,,,16,95
765,115,,,14,95
766,116,,,14,96
767,113,,,13,96
768,114,,,14,96
769,114,,,14,97
770,115,,,13,96
771,113,,,15,97
772,114,,,13,97
773,114,,,15,97
774,112,,,13,97
775,115,,,16,97
776,116,,,14,97
777,,,,14,97
778,115,,,14,98
779,117,,,14,98
780,118,,,14,98
781,118,,,15,97
782,116,,,14,97
783,115,,,15,97
784,114,,,15,97
785,115,,,13,97
786,115,,,13,98
787,112,,,13,97
788,117,,,13,
789,115,,,14,98
790,117,,,14,98
791,122,,,13,99
792,125,,,12,98
793,121,,,13,98
794,120,,,11,98
795,119,,,12,99
796,122,,,21,98
797,121,,,12,99
798,120,,,13,99
799,120,,,15,
800,120,,,12,
801,118,,,14,98
802,,,,12,98
803,119,,,12,98
804,118,,,14,97
805,119,,,14,98
806,118,,,13,97
807,119,,,13,97
808,118,,,12,98
809,119,,,13,
810,118,,,13,98
811,115,,,14,
812,115,,,12,98
813,118,,,13,98
814,115,,,13,98
815,117,,,15,98
816,116,,,13,
817,115,,,13,98
818,117,,,13,
819,115,,,14,98
820,120,,,12,99
821,117,,,13,
822,117,,,13,98
823,115,,,12,98
824,115,,,14,98
825,116,,,13,98
826,116,,,14,98
827,118,,,12,
828,114,,,13,
829,123,,,21,98
830,122,,,14,
831,116,,,13,
832,119,,,14,98
833,118,,,14,98
834,119,,,16,98
835,116,,,13,98
836,119,,,14,98
837,118,,,13,98
838,120,,,16,98
839,119,,,14,98
840,117,,,15,98
841,116,,,13,98
842,114,,,14,98
843,116,,,13,98
844,113,,,13,
845,115,,,18,
846,118,,,15,99
847,115,,,12,98
848,116,,,19,
849,,,,13,
850,,,,13,
851,114,,,13,
852,113,,,12,98
853,,,,13,98
854,117,,,14,98
855,116,,,14,98
856,115,,,13,98
857,115,,,13,
858,112,,,14,
859,,,,13,
860,,,,13,
861,116,,,13,99
862,116,,,13,98
863,117,,,17,98
864,115,,,14,98
865,114,,,16,99
866,114,,,13,98
867,115,,,14,
868,115,,,14,
869,114,,,15,
870,114,,,25,98
871,118,,,23,98
872,118,,,31,98
873,115,,,20,97
874,120,,,36,94
875,119,,,27,94
876,118,,,30,94
877,111,,,18,98
878,115,,,20,98
879,116,,,34,98
880,115,,,33,98
881,113,,,22,98
882,115,,,32,98
883,116,,,32,97
884,118,,,31,97
885,119,,,20,98
886,113,,,18,98
887,117,,,26,98
888,114,,,20,98
889,115,,,21,98
890,114,,,23,98
891,118,,,20,99
892,115,,,21,98
893,116,,,30,98
894,113,,,31,98
895,111,,,14,98
896,113,,,21,98
897,,,,15,98
898,111,,,14,98
899,113,,,15,99
900,111,,,13,99
901,111,,,13,99
902,109,,,13,99
903,111,,,13,99
904,112,,,14,99
905,108,,,14,99
906,108,,,13,99
907,106,,,15,99
908,109,,,13,99
909,107,,,13,99
910,106,,,13,100
911,105,,,14,99
912,108,,,12,99
913,107,,,13,100
914,108,,,14,100
915,110,,,13,99
916,108,,,13,99
917,105,,,12,100
918,108,,,13,100
919,107,,,13,100
920,107,,,13,100
921,114,,,16,99
922,,,,15,
923,113,,,14,99
924,112,,,14,99
925,109,,,13,99
926,110,,,14,99
927,111,,,14,
928,116,,,30,
929,115,,,30,
930,119,,,36,93
931,113,,,26,98
932,116,,,27,99
933,111,,,18,98
934,111,,,22,95
935,115,,,34,91
936,113,,,31,98
937,111,,,24,97
